year,quarter,country_state_level,location,registered_users,app_opens,brand,brand_count,brand_percentage
2020,4,state,ladakh,64853,1232757,Xiaomi,18866,0.290904045
2020,4,state,ladakh,64853,1232757,Vivo,13750,0.212017948
2020,4,state,ladakh,64853,1232757,Samsung,11484,0.17707739
2020,4,state,ladakh,64853,1232757,Oppo,9683,0.149306894
2020,4,state,ladakh,64853,1232757,Realme,3480,0.053659815
2020,4,state,ladakh,64853,1232757,Apple,1484,0.022882519
2020,4,state,ladakh,64853,1232757,OnePlus,1397,0.021541024
2020,4,state,ladakh,64853,1232757,Huawei,924,0.014247606
2020,4,state,ladakh,64853,1232757,Motorola,912,0.014062572
2020,4,state,ladakh,64853,1232757,Lenovo,524,0.008079811
2020,4,state,ladakh,64853,1232757,Others,2349,0.036220375
2021,1,state,ladakh,69919,1184204,Xiaomi,20199,0.288891432
2021,1,state,ladakh,69919,1184204,Vivo,15183,0.217151275
2021,1,state,ladakh,69919,1184204,Samsung,12232,0.174945294
2021,1,state,ladakh,69919,1184204,Oppo,10382,0.148486105
2021,1,state,ladakh,69919,1184204,Realme,3940,0.05635092
2021,1,state,ladakh,69919,1184204,Apple,1613,0.023069552
2021,1,state,ladakh,69919,1184204,OnePlus,1531,0.021896766
2021,1,state,ladakh,69919,1184204,Huawei,941,0.01345843
2021,1,state,ladakh,69919,1184204,Motorola,924,0.013215292
2021,1,state,ladakh,69919,1184204,Lenovo,520,0.007437177
2021,1,state,ladakh,69919,1184204,Others,2454,0.035097756
2021,2,state,ladakh,75048,4391632,Xiaomi,21227,0.282845645
2021,2,state,ladakh,75048,4391632,Vivo,16463,0.219366272
2021,2,state,ladakh,75048,4391632,Samsung,13134,0.175007995
2021,2,state,ladakh,75048,4391632,Oppo,11029,0.146959279
2021,2,state,ladakh,75048,4391632,Realme,4715,0.062826458
